,Name,Type,Episodes,Producers,Licensors,Studios,Source,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Unknown,Vampire,Yaoi,Yuri,Year,Seconds
0,Nanatsuko Nezumi Series,OVA,3,Unknown,Unknown,Unknown,Picture book,G - All Ages,15763.0,16590,111,1,7,31,2,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1994,1680.0
1,Shouta no Sushi: Kokoro ni Hibiku Shari no Aji,Special,1,Studio Comet,Unknown,Unknown,Unknown,G - All Ages,12074.0,14966,196,0,16,39,7,40,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1999,3240.0
2,Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou,Movie,1,Tezuka Productions,Unknown,Unknown,Unknown,G - All Ages,7012.0,10914,822,0,24,357,20,65,356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2003,1200.0
3,Yu☆Gi☆Oh! Arc-V,TV,148,"TV Tokyo, Nihon Ad Systems, Marvelous AQL",Unknown,Gallop,Manga,PG-13 - Teens 13 or older,4472.0,2383,45530,1192,7769,20770,3640,5107,8244,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,1440.0
4,Binetsukko ♭37℃ The Animation,OVA,2,Pink Pineapple,Unknown,Unknown,Manga,Rx - Hentai,Unknown,7711,3137,6,240,1581,129,160,1027,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,1800.0
5,Chrno Crusade,TV,24,"Lantis, Kadokawa Shoten, Fuji TV","ADV Films, Funimation",Gonzo,Manga,R - 17+ (violence & profanity),1120.0,742,198007,2064,8228,117484,9881,9842,52572,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2003,1380.0
6,Hoshi Neko Fullhouse,OVA,4,Walkers Company,Unknown,Artland,Original,R+ - Mild Nudity,8572.0,10908,822,3,29,264,30,44,455,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,1800.0
7,Magic Knight Rayearth Pilot,Special,1,Unknown,Unknown,Tokyo Movie Shinsha,Manga,PG-13 - Teens 13 or older,6995.0,12052,522,1,18,232,15,18,239,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,300.0
8,Boku wa Sonzai Shiteinakatta,Music,1,Unknown,Unknown,Tatsunoko Production,Original,G - All Ages,7677.0,8995,1896,2,82,1200,24,41,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,300.0
9,Reijou Caster: Ingyaku no Wana,OVA,1,Unknown,Unknown,Unknown,Visual novel,Rx - Hentai,Unknown,9565,1489,1,127,708,68,87,499,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,3120.0
10,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV),TV,13,"Aniplex, Houbunsha, f4samurai",Aniplex of America,Shaft,Game,PG-13 - Teens 13 or older,4604.0,1324,107415,1000,12508,37592,4532,7969,44814,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,1380.0
11,Kubbe no Ongakukai,ONA,2,TMS Entertainment,Unknown,Unknown,Picture book,G - All Ages,15186.0,14343,235,0,13,139,2,25,56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,60.0
12,Komadori Eiga: Komaneko,Movie,1,dwarf,Unknown,Unknown,Unknown,G - All Ages,6313.0,12548,421,2,20,195,8,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2006,3480.0
13,Trinity Seven Movie 1: Eternity Library to Alchemic Girl,Movie,1,"Sotsu, Avex Pictures",Unknown,Seven Arcs Pictures,Manga,PG-13 - Teens 13 or older,2425.0,1185,124526,250,2620,89690,880,510,30826,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017,3300.0
14,Super Senko-san Time Episode 12,Special,1,Unknown,Unknown,Doga Kobo,Web manga,Unknown,3890.0,5283,8320,11,544,2889,144,60,4683,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2019,60.0
15,Kkoma Sinseon Tao 2,TV,13,Unknown,Unknown,Unknown,Original,G - All Ages,15079.0,16463,116,1,7,44,4,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1320.0
16,Pokemon Masters: Trainers Great Gathering Special Animation,ONA,1,Unknown,Unknown,OLM,Game,PG - Children,6917.0,10311,1074,0,29,778,17,31,219,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,240.0
17,Midnight Eye: Gokuu II,OVA,1,Unknown,Urban Vision,Madhouse,Manga,R+ - Mild Nudity,7208.0,7016,4116,4,87,2842,45,50,1092,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1989,3180.0
18,Kitty's Paradise,TV,16,Unknown,ADV Films,"Bones, Sanrio",Original,G - All Ages,7260.0,10163,1142,4,34,688,37,96,287,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,1380.0
19,Choujigen Game Neptune: Hi☆Light,Special,2,Unknown,Unknown,Unknown,Game,PG-13 - Teens 13 or older,6063.0,8626,2197,5,158,300,58,44,1637,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,5760.0
20,Souten Kouro,TV,26,VAP,Unknown,Madhouse,Manga,R+ - Mild Nudity,2350.0,4076,15684,42,1296,3745,1005,1056,8582,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,1380.0
21,Gochuumon wa Usagi Desu ka? Bloom,TV,12,Unknown,Sentai Filmworks,Encourage Films,4-koma manga,PG-13 - Teens 13 or older,558.0,2741,34740,288,4809,10351,700,591,18289,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020,1440.0
22,Heavy Object: Dai 37 Kidou Seihi Daitai - Sakusen Kiroku,Special,1,Unknown,Unknown,"J.C.Staff, SANZIGEN",Light novel,PG-13 - Teens 13 or older,6983.0,8429,2377,0,125,832,61,69,1290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1200.0
