,Score
13167,Unknown
9679,Unknown
7930,6.28
8499,6.79
3438,6.01
41,7.66
4375,5.89
14869,6.28
13482,6.13
3739,5.37
14803,6.77
11940,Unknown
5058,6.42
11976,7.28
15906,6.93
13010,Unknown
15990,6.29
1711,6.23
3445,6.22
15952,6.47
4032,7.3
14850,7.98
14776,6.28
5617,7.32
10726,Unknown
6105,6.1
14809,5.66
2578,7.52
9264,Unknown
4779,5.16
11600,Unknown
9415,5.06
14906,6.92
34,7.14
13035,5.35
2246,7.71
1254,5.9
16540,Unknown
8370,6.56
5805,Unknown
8930,5.93
2122,6.48
2673,7.33
7895,Unknown
15917,7.58
11459,Unknown
4237,6.43
1516,6.93
16299,5.87
8816,Unknown
4220,5.59
10995,6.06
13553,Unknown
14252,8.07
10302,Unknown
4245,5.52
6454,Unknown
2344,7.63
16535,7.35
8136,Unknown
12995,7.41
13301,6.99
11679,6.76
8936,7.21
4843,6.21
13329,Unknown
17194,Unknown
7608,5.78
8018,5.57
4881,7.28
16269,Unknown
3165,7.84
12083,6.09
8083,7.78
385,7.28
14366,Unknown
33,7.26
15937,7.09
7076,5.99
6590,6.03
311,7.29
334,6.99
8153,6.78
8048,6.73
1139,6.96
1303,7.01
7286,7.22
6345,7.98
4140,8.24
14433,Unknown
13678,5.34
7360,Unknown
16905,7.6
7408,Unknown
5513,Unknown
6098,6.31
3101,5.48
8661,Unknown
15300,Unknown
7004,Unknown
6935,6.4
16213,7.05
14347,6.47
10381,Unknown
7471,6.15
17308,Unknown
6929,6.09
1643,6.69
3886,6.2
2974,7.38
1576,6.5
1024,7.23
4721,6.04
10119,Unknown
8672,6.01
17307,Unknown
2906,6.85
13321,5.33
14376,Unknown
5862,5.27
12830,Unknown
13695,Unknown
3184,5.05
5161,6.66
2252,6.64
12301,6.68
10280,Unknown
11042,Unknown
4113,4.49
14613,7.13
5174,Unknown
11017,5.28
6913,7.1
993,6.4
4028,6.89
9452,Unknown
16674,Unknown
4130,5.36
5135,6.77
5268,Unknown
5651,7.48
7112,5.46
10790,Unknown
15746,7.7
6266,6.83
14797,Unknown
11384,6.33
15465,6.45
1395,6.3
2357,7.05
568,6.71
14524,6.63
5638,6.44
9819,Unknown
31,7.35
14073,5.18
121,6.87
12877,Unknown
1611,5.23
7573,6.16
9307,5.19
10648,6.45
14041,6.85
14466,4.88
5814,Unknown
2124,6.06
6108,6.38
15672,8.46
11147,6.35
732,6.91
12362,5.88
4847,7.07
10242,5.14
79,7.2
14879,Unknown
16452,Unknown
410,6.54
13264,Unknown
3964,5.83
8918,6.71
1084,6.52
16492,5.79
17269,Unknown
5916,Unknown
7387,6.99
12912,Unknown
6832,Unknown
7153,6.8
2188,6.77
6118,6.08
4604,6.95
7852,Unknown
5023,Unknown
8836,5.13
13586,6.4
2081,6.42
13968,Unknown
13372,6.03
157,7.21
10089,5.3
17441,Unknown
11416,5.6
5937,5.46
15997,6.57
12450,6.29
16600,Unknown
14518,Unknown
1484,6.31
16165,6.32
705,6.69
11506,5.41
14395,Unknown
3154,5.57
12590,5.91
10630,7.31
953,6.38
11848,7.53
8158,6.37
8255,Unknown
396,6.85
8396,5.38
5407,7.75
17462,5.92
5504,6.89
17311,Unknown
2536,5.88
15052,5.92
10901,5.76
8180,5.09
12353,6.29
4510,7.72
17073,Unknown
12072,Unknown
9183,7.45
1528,7.46
9330,5.98
2020,6.46
14493,5.38
5886,6.6
12321,6.31
1662,7.04
455,7.29
4098,6.9
12528,Unknown
13797,7.23
13744,7.29
10652,Unknown
10615,4.29
4043,7.38
16148,8.19
651,6.52
11761,5.84
9237,7.44
3016,Unknown
10505,7.04
6348,7.47
8470,Unknown
13006,Unknown
14951,Unknown
14757,5.81
15123,6.15
13928,7.37
17518,Unknown
13567,6.96
14558,6.74
14175,7.11
16260,Unknown
3646,6.12
7058,7.6
16485,7.01
173,6.88
3769,6.04
12816,Unknown
13825,Unknown
335,6.3
6070,6.52
5391,Unknown
2133,6.14
7556,6.0
12860,Unknown
399,6.12
15073,6.5
6508,6.8
749,6.68
611,7.31
10497,4.7
6334,Unknown
7472,6.18
3776,5.14
10390,Unknown
11830,7.08
13423,Unknown
14000,Unknown
4459,7.09
13228,6.28
3087,7.21
3989,6.93
14156,Unknown
3601,6.87
10915,6.53
3187,7.06
8482,Unknown
10470,4.82
7249,8.96
17475,Unknown
5272,Unknown
10261,Unknown
15949,7.02
9504,Unknown
15650,6.05
8451,7.04
4667,5.21
1795,7.15
14206,5.25
15237,Unknown
14293,8.86
8176,Unknown
11575,5.64
214,7.36
9894,Unknown
12193,Unknown
15159,Unknown
1562,7.27
16679,Unknown
7101,7.89
12071,6.53
3213,7.57
1527,6.24
14923,7.01
7203,6.57
10444,5.36
15786,Unknown
13724,Unknown
12561,Unknown
2694,7.96
8655,3.6
3042,7.49
9792,6.4
4279,6.77
3971,9.19
12850,Unknown
13400,5.63
11187,5.65
11267,6.63
8862,Unknown
8144,Unknown
1869,6.06
9755,Unknown
4061,6.31
15362,Unknown
12809,7.58
5082,6.3
9644,8.1
15549,Unknown
0,8.78
11499,5.86
2213,7.04
16495,Unknown
10095,Unknown
14170,6.6
15931,6.59
3615,6.07
15141,Unknown
2348,7.06
14147,6.93
11290,Unknown
8265,Unknown
5809,6.24
14908,7.65
9093,5.61
3015,5.75
4671,6.05
1396,7.18
12836,Unknown
8366,6.43
12646,6.16
13029,5.13
11068,3.92
6177,5.3
13268,8.0
8409,6.69
5883,7.61
10467,Unknown
15515,6.2
14539,5.86
7750,7.05
3997,6.31
4929,6.83
8628,Unknown
5514,4.97
2683,6.82
14981,5.67
5639,5.94
15583,Unknown
14341,Unknown
12577,5.36
326,7.21
13602,Unknown
12643,6.59
4750,6.87
13325,7.28
2872,5.8
4743,5.63
4639,6.97
11896,7.64
1521,6.4
16981,Unknown
15905,Unknown
934,7.48
5381,6.26
12623,6.94
11723,Unknown
5848,6.7
4770,5.08
15980,7.17
5035,4.77
12445,6.59
3905,7.53
14480,7.69
10688,4.83
8639,7.26
1675,6.44
17238,Unknown
7449,8.48
16545,6.36
8268,Unknown
2996,5.53
5112,6.91
16109,Unknown
15488,Unknown
16701,Unknown
10446,6.0
829,7.56
8731,Unknown
4254,5.53
9535,Unknown
12778,Unknown
2498,6.79
17080,6.36
11562,Unknown
9466,Unknown
13213,Unknown
16849,Unknown
6050,Unknown
5843,5.85
8360,4.9
5732,7.14
12661,Unknown
16182,Unknown
7496,6.33
11291,Unknown
333,6.59
181,6.11
831,6.58
1321,5.23
5568,7.17
15296,Unknown
3316,6.73
4844,6.25
9811,Unknown
8059,7.79
13858,6.07
13709,Unknown
8977,Unknown
17233,Unknown
16723,Unknown
15862,Unknown
6978,5.33
11942,Unknown
11995,Unknown
1508,6.66
15014,Unknown
11075,Unknown
1615,5.57
4035,5.59
5225,7.6
3973,5.92
8653,7.15
5836,6.31
13844,Unknown
1598,5.62
16474,6.34
8115,5.86
1803,6.56
12483,6.08
12865,Unknown
17482,Unknown
7563,5.44
7536,Unknown
7157,6.51
13079,Unknown
5803,6.64
5715,6.7
377,8.0
1732,7.09
7790,Unknown
772,7.31
10999,6.91
14843,Unknown
5800,4.8
7050,Unknown
17458,6.54
5025,5.23
16595,5.54
394,6.66
5236,7.09
15633,Unknown
8525,Unknown
2595,6.9
8108,Unknown
7044,6.45
12752,Unknown
9707,5.58
2225,6.11
4785,5.06
13554,Unknown
14008,7.61
7341,6.16
3813,5.28
10255,Unknown
8170,Unknown
4880,7.8
6670,7.68
2029,7.41
8487,6.47
11183,7.26
2057,8.42
10334,Unknown
4731,6.94
4862,7.14
7268,5.32
5826,6.3
6388,6.49
8994,Unknown
8379,6.75
8991,Unknown
7025,6.86
3447,5.99
5375,6.44
11914,8.33
5426,6.07
6451,5.31
10723,7.02
13634,6.13
871,7.69
2816,6.68
11226,6.1
16097,Unknown
7364,8.01
6601,5.33
3623,5.08
8573,Unknown
5414,Unknown
1433,7.46
9754,7.4
6021,Unknown
16210,Unknown
15681,Unknown
16259,Unknown
17341,7.98
5042,5.66
11512,Unknown
2288,6.63
14491,6.32
11853,5.81
4812,6.98
5691,Unknown
11514,5.19
7649,7.06
3295,6.77
3025,6.16
11304,5.38
4057,5.8
1026,6.97
7808,6.78
9213,Unknown
275,6.61
7704,7.37
3576,6.48
17093,5.65
12118,Unknown
13786,Unknown
7908,Unknown
3678,6.17
12934,6.17
13874,7.19
5915,6.38
20,8.32
16887,5.75
6072,Unknown
8232,Unknown
1851,6.52
2473,5.8
9363,Unknown
1922,6.14
17452,Unknown
16326,Unknown
11822,7.79
12432,6.48
2342,7.36
17396,Unknown
4128,8.35
6650,3.26
14748,Unknown
12230,5.72
16985,Unknown
12979,5.87
8051,6.21
15970,Unknown
13609,Unknown
1217,7.29
5049,Unknown
11733,Unknown
12465,5.4
11300,6.52
8774,7.69
1954,7.13
16738,Unknown
1740,6.11
17067,Unknown
457,6.68
12929,7.71
7277,5.47
16082,5.06
13611,Unknown
63,7.3
12900,6.34
4536,6.0
11458,Unknown
16037,6.52
12660,Unknown
6399,7.16
9477,Unknown
1454,6.35
7773,7.88
15618,8.03
14283,6.87
10839,6.46
13738,5.12
1817,4.71
16390,5.99
61,7.9
3098,6.37
4229,5.46
10146,5.09
11316,4.56
633,5.16
1923,6.18
10384,Unknown
8544,6.32
8645,Unknown
10301,6.64
13680,5.71
16657,Unknown
14116,6.87
3147,6.79
11769,Unknown
12081,5.89
12068,5.91
12372,Unknown
11080,Unknown
15464,Unknown
12090,Unknown
4169,6.81
407,5.55
15274,6.8
4653,7.19
17092,6.71
1623,5.46
1595,6.59
8694,Unknown
15134,Unknown
170,6.8
2882,5.52
3205,5.34
4789,6.14
5090,6.69
9857,6.59
17160,Unknown
17268,Unknown
15269,5.94
8602,6.35
10086,Unknown
1385,6.48
